               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.020739,             0.01184,                   0,             0.55027,              0.6332,             0.64765,             0.27631,            0.048285,            0.026622,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.020261,            0.011844,                   0,             0.54155,             0.64865,              0.6568,             0.27979,            0.047482,            0.026117,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021134,            0.011683,                   0,             0.55044,             0.64093,             0.65572,             0.27656,            0.047779,            0.027082,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.019823,            0.012295,                   0,             0.52571,             0.63338,             0.62463,              0.2725,            0.047615,             0.02743,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020217,            0.012105,                   0,             0.53872,             0.61777,              0.6257,             0.25952,            0.048731,            0.027996,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020773,            0.011351,                   0,             0.58842,             0.58687,             0.63469,             0.26694,            0.048353,            0.026474,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.019813,            0.012004,                   0,             0.54476,             0.63298,              0.6197,             0.25143,            0.049324,            0.026593,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.019968,            0.011694,                   0,             0.60058,             0.58301,             0.63433,             0.26631,            0.048255,            0.026864,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.018451,            0.011213,                   0,             0.63199,             0.61002,             0.65516,             0.29007,            0.048751,             0.02629,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.019927,            0.011595,                   0,             0.57601,             0.65637,             0.66708,             0.28668,            0.048515,            0.027015,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.019388,            0.010667,                   0,             0.55608,             0.65251,             0.66389,             0.28088,            0.048507,            0.026895,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.020148,            0.011162,                   0,             0.58644,             0.62162,             0.64387,              0.2781,            0.048017,            0.026756,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.01847,            0.010937,                   0,             0.57954,             0.61776,             0.65328,             0.28141,            0.047685,            0.026852,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019633,            0.012169,                   0,             0.60097,             0.61058,             0.66173,              0.2781,            0.047864,            0.026294,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.018957,            0.011588,                   0,             0.66956,             0.55212,             0.67127,             0.28847,            0.047217,            0.025482,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.019286,            0.010686,                   0,             0.65477,             0.54922,             0.66713,             0.28512,            0.047342,            0.025853,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.018998,            0.011468,                   0,             0.66217,             0.53731,             0.66547,             0.28199,            0.046656,            0.025857,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.01904,            0.011055,                   0,             0.68819,             0.53282,             0.66152,             0.27351,            0.047286,            0.026775,                   0,            0.001585,            0.001585,            0.001585
                  87,             0.01943,            0.011346,                   0,             0.68079,             0.53524,             0.65124,             0.27066,              0.0477,            0.027452,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.018892,            0.010703,                   0,             0.54157,             0.66409,             0.63923,             0.26023,            0.047915,            0.028077,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.018386,            0.011068,                   0,             0.51257,             0.69112,              0.6256,             0.25419,            0.048175,             0.02801,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.018123,            0.010863,                   0,              0.5032,             0.66409,              0.6238,             0.25328,            0.048191,             0.02757,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.018105,            0.010994,                   0,             0.64532,             0.51737,             0.62549,              0.2586,            0.048207,            0.027556,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.018564,             0.01094,                   0,             0.63915,             0.52896,             0.63251,             0.26422,            0.048149,            0.027658,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.018426,            0.011412,                   0,             0.51153,             0.64479,             0.61889,             0.25829,            0.048346,            0.027852,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.018049,            0.010994,                   0,             0.51269,             0.66409,             0.63268,             0.26381,            0.048093,            0.027238,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.017599,             0.01118,                   0,             0.51778,             0.65918,             0.63915,             0.26409,            0.048168,            0.027142,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017908,            0.010934,                   0,             0.63744,             0.51737,             0.63042,             0.25939,            0.048428,            0.027395,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.017828,            0.010165,                   0,             0.67324,             0.54095,             0.64048,             0.26058,             0.04851,            0.027473,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.017845,            0.010679,                   0,             0.65987,             0.53282,             0.64009,             0.26054,            0.048646,            0.027512,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.016582,            0.010931,                   0,             0.65543,             0.52896,             0.64184,             0.26195,            0.048696,            0.027736,                   0,            0.000298,            0.000298,            0.000298
