               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.023325,            0.013055,                   0,             0.85575,             0.65084,             0.72594,             0.41861,            0.043896,            0.012933,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.022705,             0.01258,                   0,             0.83536,             0.69198,             0.72978,             0.41878,            0.043687,            0.013196,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023394,            0.013064,                   0,              0.7726,             0.72152,             0.73693,             0.41935,            0.042751,            0.012389,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022595,            0.012579,                   0,             0.83484,             0.66245,             0.71812,             0.41336,            0.041531,            0.013817,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022443,            0.012349,                   0,               0.883,             0.66245,             0.73495,             0.43214,            0.041765,            0.012712,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022958,            0.012812,                   0,             0.81846,             0.68482,             0.72542,              0.4278,            0.043323,            0.012776,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.02216,            0.013041,                   0,             0.82788,             0.71034,             0.75282,             0.44062,            0.041985,            0.012456,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022082,            0.012376,                   0,             0.82706,             0.70628,             0.73621,             0.41805,            0.042573,            0.012306,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.020941,            0.012438,                   0,             0.80983,             0.71873,              0.7609,             0.44486,            0.041622,            0.011973,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.021935,            0.011941,                   0,             0.80109,             0.70042,              0.7439,             0.43525,            0.040872,            0.012286,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.021553,            0.012685,                   0,             0.86922,             0.64499,             0.74432,             0.43345,             0.04159,            0.012941,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.020448,            0.012112,                   0,             0.84207,             0.68776,             0.73864,             0.42263,            0.041176,            0.013298,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.022187,             0.01271,                   0,             0.89935,             0.67865,             0.75285,             0.43092,            0.040483,            0.013141,                   0,            0.003268,            0.003268,            0.003268
                  70,              0.0205,            0.011963,                   0,              0.8814,             0.70042,             0.77153,             0.43988,            0.041022,            0.012685,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.020841,            0.011767,                   0,             0.82492,             0.72996,             0.75213,             0.43199,            0.041085,            0.012484,                   0,             0.00307,             0.00307,             0.00307
